Date,Open,High,Low,Close,Adj Close,Volume
2017-11-11,0.7628,0.778139,0.75508,0.765082,0.765082,565838617
2017-11-12,0.76283,0.838573,0.733698,0.7717,0.7717,1117423805
2017-11-13,0.76561,0.7844,0.743616,0.76938,0.76938,585322076
2017-11-14,0.766247,0.772962,0.759947,0.765243,0.765243,326714284
2017-11-15,0.763533,0.770003,0.759837,0.7616,0.7616,341384002
2017-11-16,0.763605,0.766232,0.752791,0.759297,0.759297,492710241
2017-11-17,0.754476,0.763976,0.754534,0.757997,0.757997,483989112
2017-11-18,0.757437,0.763894,0.754175,0.758694,0.758694,445186587
2017-11-19,0.758739,0.762615,0.754556,0.759539,0.759539,368050456
2017-11-20,0.758736,0.757538,0.753412,0.75668,0.75668,339547623
2017-11-21,0.757851,0.7634,0.746261,0.751961,0.751961,470065698
2017-11-22,0.753002,0.756256,0.748879,0.751202,0.751202,375403335
2017-11-23,0.750081,0.756192,0.745708,0.747674,0.747674,553170719
2017-11-24,0.754822,0.755933,0.743028,0.751654,0.751654,636391427
2017-11-25,0.751646,0.756708,0.746214,0.753963,0.753963,488929860
2017-11-26,0.753071,0.762741,0.750326,0.757154,0.757154,477745059
2017-11-27,0.755705,0.764516,0.748669,0.751719,0.751719,588916661
2017-11-28,0.752905,0.757207,0.747223,0.74844,0.74844,594749706
2017-11-29,0.748432,0.78091,0.711873,0.738487,0.738487,1246548430
2017-11-30,0.748367,0.76464,0.735444,0.745195,0.745195,771710514
2017-12-01,0.74453,0.752462,0.735696,0.749651,0.749651,556344445
2017-12-02,0.749035,0.75484,0.739132,0.742134,0.742134,504788431
2017-12-03,0.743148,0.766255,0.732634,0.741834,0.741834,701867442
2017-12-04,0.743161,0.74976,0.73644,0.745004,0.745004,496221805
2017-12-05,0.744886,0.748438,0.74213,0.74707,0.74707,607028023
2017-12-06,0.745422,0.762419,0.743164,0.754227,0.754227,957050073
2017-12-07,0.752106,0.802138,0.743516,0.765213,0.765213,1239882795
2017-12-08,0.768677,0.782582,0.73285,0.760368,0.760368,1489225148
2017-12-09,0.762594,0.78253,0.742405,0.760016,0.760016,1194732087
2017-12-10,0.7637,0.780587,0.725406,0.760082,0.760082,1231889494
2017-12-11,0.756326,0.768438,0.746454,0.763138,0.763138,1155405661
2017-12-12,0.763333,0.811943,0.750052,0.809341,0.809341,1682564902
2017-12-13,0.811646,0.816817,0.760054,0.76608,0.76608,1639424153
2017-12-14,0.765752,0.783064,0.74897,0.750644,0.750644,1739393916
2017-12-15,0.751858,0.758266,0.740994,0.762895,0.762895,1535025128
2017-12-16,0.763841,0.76535,0.752174,0.756378,0.756378,1195833008
2017-12-17,0.759622,0.763063,0.752898,0.757972,0.757972,1450259130
2017-12-18,0.758934,0.761004,0.742425,0.757228,0.757228,1881619136
2017-12-19,0.75731,0.77393,0.74469,0.75514,0.75514,2296667735
2017-12-20,0.753444,0.761271,0.738725,0.748134,0.748134,2806335612
2017-12-21,0.749727,0.779392,0.743815,0.754493,0.754493,2322607656
2017-12-22,0.752355,0.791606,0.720282,0.762167,0.762167,3509995376
2017-12-23,0.758004,0.787661,0.754163,0.782615,0.782615,1762309099
2017-12-24,0.786695,0.800554,0.765072,0.765684,0.765684,1954636545
2017-12-25,0.768266,0.77213,0.754799,0.756042,0.756042,1277388988
2017-12-26,0.755563,0.760784,0.747664,0.750763,0.750763,1386855116
2017-12-27,0.751226,0.757965,0.744848,0.748944,0.748944,1447615814
2017-12-28,0.748683,0.770078,0.746456,0.749062,0.749062,1645639172
2017-12-29,0.752307,0.751993,0.74057,0.744257,0.744257,1427686536
2017-12-30,0.745796,0.765823,0.734785,0.755884,0.755884,2006409094
2017-12-31,0.758074,0.758074,0.740283,0.749933,0.749933,1427626351
2018-01-01,0.750148,0.75262,0.742369,0.745691,0.745691,1247631010
2018-01-02,0.744551,0.747284,0.730707,0.739278,0.739278,1939130411
2018-01-03,0.740528,0.753575,0.737669,0.750196,0.750196,1829661695
2018-01-04,0.750019,0.75228,0.73334,0.739875,0.739875,2361719593
2018-01-05,0.739299,0.741158,0.726862,0.736022,0.736022,2282296604
2018-01-06,0.737235,0.745939,0.734704,0.743654,0.743654,1931073208
2018-01-07,0.742386,0.748614,0.735816,0.737859,0.737859,1722543168
2018-01-08,0.740489,0.769042,0.735272,0.743897,0.743897,2812315660
2018-01-09,0.743352,0.747292,0.739969,0.74358,0.74358,2044630125
2018-01-10,0.74296,0.751256,0.73778,0.741085,0.741085,2360935605
2018-01-11,0.74012,0.758107,0.731475,0.73987,0.73987,2837070697
2018-01-12,0.743223,0.745065,0.736536,0.732707,0.732707,1943208728
2018-01-13,0.731287,0.737426,0.725785,0.72975,0.72975,2009962811
2018-01-14,0.731454,0.757636,0.728745,0.740019,0.740019,2156004743
2018-01-15,0.739487,0.744511,0.726621,0.729752,0.729752,1853834931
2018-01-16,0.729861,0.758627,0.726071,0.749493,0.749493,4024445421
2018-01-17,0.748565,0.775901,0.721587,0.73389,0.73389,4042852963
2018-01-18,0.735865,0.749477,0.724298,0.736527,0.736527,3097185343
2018-01-19,0.736678,0.749691,0.723402,0.724933,0.724933,2076199720
2018-01-20,0.726701,0.731399,0.715482,0.722458,0.722458,2123677494
2018-01-21,0.723764,0.74086,0.719542,0.719842,0.719842,2377257100
2018-01-22,0.722822,0.728964,0.710454,0.718759,0.718759,2342058191
2018-01-23,0.718015,0.729225,0.704302,0.71738,0.71738,2231855874
2018-01-24,0.714375,0.731304,0.701928,0.701515,0.701515,1843048046
2018-01-25,0.707174,0.711594,0.692203,0.706477,0.706477,1817746916
2018-01-26,0.705047,0.716518,0.695083,0.708788,0.708788,2087252008
2018-01-27,0.707849,0.712783,0.700379,0.701154,0.701154,1448422413
2018-01-28,0.703429,0.706642,0.692648,0.698792,0.698792,1799745493
2018-01-29,0.698544,0.708983,0.695366,0.707405,0.707405,1443610564
2018-01-30,0.709788,0.716678,0.689013,0.696966,0.696966,2196290812
2018-01-31,0.701242,0.708852,0.686504,0.697523,0.697523,1876403544
2018-02-01,0.698428,0.710201,0.669357,0.691861,0.691861,2452786518
2018-02-02,0.691408,0.720298,0.650639,0.701662,0.701662,3389426221
2018-02-03,0.704016,0.719455,0.69609,0.709143,0.709143,1762414958
2018-02-04,0.711317,0.715897,0.690658,0.715897,0.715897,1775081502
2018-02-05,0.705736,0.727838,0.67407,0.714558,0.714558,2925468046
2018-02-06,0.701786,0.736053,0.686769,0.723768,0.723768,4476390026
2018-02-07,0.718078,0.730528,0.70488,0.721522,0.721522,2383125562
2018-02-08,0.716889,0.744603,0.711172,0.73124,0.73124,1770216667
2018-02-09,0.732805,0.760543,0.719226,0.72433,0.72433,1178995279
2018-02-10,0.72532,0.73361,0.717995,0.725479,0.725479,1899804773
2018-02-11,0.726361,0.731854,0.717548,0.722942,0.722942,1759325643
2018-02-12,0.723636,0.72993,0.716422,0.722243,0.722243,1774745374
2018-02-13,0.722756,0.727794,0.717323,0.721098,0.721098,1603947228
2018-02-14,0.71866,0.728095,0.715216,0.714071,0.714071,2187791709
2018-02-15,0.717117,0.724643,0.707487,0.712854,0.712854,2330480681
2018-02-16,0.712592,0.715109,0.705511,0.71451,0.71451,1857982106
2018-02-17,0.716392,0.721291,0.710816,0.715651,0.715651,1994723708
2018-02-18,0.716349,0.724556,0.71218,0.716407,0.716407,2226626732
2018-02-19,0.713655,0.716275,0.709725,0.715232,0.715232,1820185801
2018-02-20,0.715261,0.721459,0.710362,0.714772,0.714772,2233173821
2018-02-21,0.718166,0.725022,0.707022,0.719656,0.719656,2487475747
2018-02-22,0.720059,0.728049,0.715261,0.719778,0.719778,2082164897
2018-02-23,0.722903,0.722321,0.710701,0.7172,0.7172,2015954263
2018-02-24,0.716892,0.726101,0.711699,0.71811,0.71811,1731263931
2018-02-25,0.719506,0.722521,0.713376,0.716166,0.716166,1409543276
2018-02-26,0.71425,0.72016,0.7052,0.715864,0.715864,1691763982
2018-02-27,0.715231,0.722503,0.709278,0.719695,0.719695,1778895054
2018-02-28,0.721688,0.724236,0.714392,0.726369,0.726369,1755548296
2018-03-01,0.727056,0.730827,0.724974,0.72631,0.72631,1659336466
2018-03-02,0.724691,0.729753,0.721654,0.724232,0.724232,1573638157
